car_ID,CarName,fueltype,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,alfa-romero giulia,gas,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27,13495
2,alfa-romero stelvio,gas,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27,16500
3,alfa-romero Quadrifoglio,gas,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9,154,5000,19,26,16500
4,audi 100 ls,gas,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,5500,24,30,13950
5,audi 100ls,gas,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,5500,18,22,17450
6,audi fox,gas,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25,15250
7,audi 100ls,gas,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,17710
8,audi 5000,gas,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25,18920
9,audi 4000,gas,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20,23875
10,audi 5000s (diesel),gas,99.5,178.2,67.9,52,3053,131,3.13,3.4,7,160,5500,16,22,17859.167
11,bmw 320i,gas,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16430
12,bmw 320i,gas,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16925
13,bmw x1,gas,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9,121,4250,21,28,20970
14,bmw x3,gas,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9,121,4250,21,28,21105
15,bmw z4,gas,103.5,189,66.9,55.7,3055,164,3.31,3.19,9,121,4250,20,25,24565
16,bmw x4,gas,103.5,189,66.9,55.7,3230,209,3.62,3.39,8,182,5400,16,22,30760
17,bmw x5,gas,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8,182,5400,16,22,41315
18,bmw x3,gas,110,197,70.9,56.3,3505,209,3.62,3.39,8,182,5400,15,20,36880
19,chevrolet impala,gas,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,5151
20,chevrolet monte carlo,gas,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43,6295
21,chevrolet vega 2300,gas,94.5,158.8,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43,6575
22,dodge rampage,gas,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,5572
23,dodge challenger se,gas,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,6377
24,dodge d200,gas,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,7957
25,dodge monaco (sw),gas,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,6229
26,dodge colt hardtop,gas,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,6692
27,dodge colt (sw),gas,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,7609
28,dodge coronet custom,gas,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30,8558
29,dodge dart custom,gas,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30,8921
30,dodge coronet custom (sw),gas,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7,145,5000,19,24,12964
31,honda civic,gas,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,6479
32,honda civic cvcc,gas,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38,6855
33,honda civic,gas,93.7,150,64,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42,5399
34,honda accord cvcc,gas,93.7,150,64,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34,6529
35,honda civic cvcc,gas,93.7,150,64,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34,7129
36,honda accord lx,gas,96.5,163.4,64,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34,7295
37,honda civic 1500 gl,gas,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34,7295
38,honda accord,gas,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9,86,5800,27,33,7895
39,honda civic 1300,gas,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9,86,5800,27,33,9095
40,honda prelude,gas,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9,86,5800,27,33,8845
41,honda accord,gas,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9,86,5800,27,33,10295
42,honda civic,gas,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9,101,5800,24,28,12945
43,honda civic (auto),gas,96.5,169.1,66,51,2293,110,3.15,3.58,9.1,100,5500,25,31,10345
44,isuzu MU-X,gas,94.3,170.7,61.8,53.5,2337,111,3.31,3.23,8.5,78,4800,24,29,6785
45,isuzu D-Max ,gas,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43,8916.5
46,isuzu D-Max V-Cross,gas,94.5,155.9,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43,8916.5
47,isuzu D-Max ,gas,96,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,5000,24,29,11048
48,jaguar xj,gas,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,32250
49,jaguar xf,gas,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19,35550
50,jaguar xk,gas,102,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,5000,13,17,36000
51,maxda rx3,gas,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9,68,5000,30,31,5195
52,maxda glc deluxe,gas,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9,68,5000,31,38,6095
53,mazda rx2 coupe,gas,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9,68,5000,31,38,6795
54,mazda rx-4,gas,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9,68,5000,31,38,6695
55,mazda glc deluxe,gas,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9,68,5000,31,38,7395
